movieCd,rank,audiAcc,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits,image_url,userRating,link
20195002,1,1050331,블랙머니,BLACK MONEY,20191113.0,범죄,드라마,,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1890/189053_P108_105429.jpg,8.55,https://movie.naver.com/movie/bi/mi/basic.nhn?code=189053
20181434,2,1838581,신의 한 수: 귀수편,The Divine Move 2: The Wrathful,20191107.0,범죄,액션,,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1791/179159_P50_104524.jpg,8.03,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179159
20191029,3,3491859,82년생 김지영,"KIM JI-YOUNG, BORN 1982",20191023.0,드라마,액션,,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1794/179482_P26_155441.jpg,6.69,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179482
20192083,4,2310267,터미네이터: 다크 페이트,Terminator: Dark Fate,20191030.0,액션,어드벤처,SF,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167605_P40_140111.jpg,8.62,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167605
20197721,5,126377,엔젤 해즈 폴른,Angel Has Fallen,20191113.0,액션,스릴러,SF,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1638/163831_P26_144440.jpg,8.61,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163831
20197279,6,319305,아담스 패밀리,The Addams Family,20191107.0,애니메이션,코미디,가족,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1843/184357_P12_104437.jpg,7.74,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184357
20198421,7,104508,좀비랜드: 더블 탭,Zombieland: Double Tap,20191113.0,액션,코미디,공포(호러),15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/0744/74407_P21_112828.jpg,8.1,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74407
20190280,8,612008,날씨의 아이,Weathering With You,20191030.0,애니메이션,판타지,멜로/로맨스,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1811/181114_P00_152033.jpg,7.86,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181114
20196284,9,34608,윤희에게,Moonlit Winter,20191114.0,멜로/로맨스,판타지,멜로/로맨스,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1823/182387_P37_144748.jpg,9.19,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182387
20199950,10,5239867,조커,Joker,20191002.0,액션,드라마,스릴러,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167613_P09_182225.jpg,8.65,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167613
20191589,6,1432023,말레피센트 2,Maleficent: Mistress of Evil,20191017.0,어드벤처,가족,판타지,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167635_P27_100146.jpg,7.62,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167635
20193801,8,46343,닥터 슬립,Doctor Sleep,20191107.0,스릴러,가족,판타지,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1859/185912_P01_113117.jpg,8.62,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185912
